 LAMMPS data file via lmpdata.f95
  
     216 atoms
       5 atom types
  
     0.149     18.167 xlo xhi
     0.459     17.508 ylo yhi
     0.307     17.648 zlo zhi
  
 Atoms
  
     160        2     15.164      6.142      8.978
     161        4     15.164      3.301      8.978
     162        1     18.167      3.301      3.197
     163        1     18.167      6.142      6.088
     164        1     15.164      3.301      6.088
     165        4     15.164      3.301      3.197
     166        2     15.164      6.142      3.197
     167        1     18.167      0.459      0.307
     168        2     15.164      0.459      3.197
     169        1     18.167      0.459      6.088
     170        3     15.164      3.301     14.758
     171        1     18.167      3.301     14.758
     172        2     15.164      6.142     14.758
     173        2     15.164      3.301     11.868
     174        5     15.164      6.142     11.868
     175        1     15.164      3.301     17.648
     176        1     18.167      0.459     11.868
     177        1     15.164      0.459     14.758
     178        3     15.164      8.984      8.978
     179        4     18.167      8.984      8.978
     180        2     15.164     11.825      3.197
     181        5     15.164     11.825      6.088
     182        2     15.164      8.984      6.088
     183        1     15.164      8.984      3.197
     184        5     18.167      8.984      6.088
     185        4     18.167      6.142      0.307
     186        5     15.164      6.142      6.088
     187        3     18.167      6.142      8.978
     188        3     15.164      8.984     14.758
     189        2     15.164      8.984     11.868
     190        5     18.167      8.984     11.868
     191        5     15.164      6.142     17.648
     192        2     15.164     11.825      8.978
     193        2     15.164      8.984     17.648
     194        5     15.164     17.508      6.088
     195        2     18.167     14.667      3.197
     196        1     18.167     11.825      3.197
     197        1     15.164     14.667      0.307
     198        2     15.164     14.667      6.088
     199        4     15.164     14.667      3.197
     200        4     15.164     14.667      8.978
     201        4     18.167     11.825     14.758
     202        5     15.164     17.508     11.868
     203        1     18.167     14.667     14.758
     204        2     15.164     14.667     11.868
     205        3     15.164     14.667     14.758
     206        5     18.167     14.667     17.648
     207        5     18.167     14.667     11.868
     208        2     18.167     11.825     17.648
     209        5     15.164     11.825     17.648
     210        1     15.164     11.825     14.758
     211        5     15.164     11.825     11.868
     212        2     18.167     14.667      8.978
     213        2     15.164     17.508      8.978
     214        3     18.167     17.508      8.978
     215        5     15.164     17.508     17.648
     216        1     18.167     11.825      8.978
